inst1mouse," Odaberite vrata pritiskom na tipke C V B ili N. Pritisnite bilo koju tipku za pocetak."
inst1key," Odaberite vrata pritiskom na lijevo dugme misa. Pritisnite misem za pocetak."
inst2, "Vas je zadatak da omognete magarcu da dode do januka. Iza svih vrata kriju se jabuke koje ce magarac dobiti, ali otvaranjem vrata magarac ce i izgubiti nekoliko jabuka."
headerkey,"Odaberite vrata pritiskom odgovarajuce tipke (cvbn)"
headermouse,"Odaberite vrata pritiskom misa."
total,"Ukupno: "
apples," jabuka. "
feedback1,"Hvala vam na sudjelovanju u istrazivanju. Skupili ste ukupno "
congrats,"Cestitamo! "
feedback3," Mozete otici. Recite istrazivacu da ste gotovi. Pritisnite tipku X za izlaz."
author,"Silvija Rucevic"
