color1,"red"
color2,"blue"
color3,"green"
color4,"yellow"
black,"black"
word1,"when"
word2,"hard"
word3,"and"
word4,"over"
correct,"Correct"
incorrect,"Incorrect"
tooslow,"Too Slow"
keyheader,"1 = red   2 = blue  3 = green  4 = yellow"
sayheader, "Say 'red', 'blue', 'green', or 'yellow'"
practiceText,"Before we begin, take a moment to learn the mapping between colors and the keyboard numbers.  Press the numbers 1-4 consecutively to practice the responses, and space bar to begin the test."
InstructionsBase,"You are about to take part in an study in which you will be asked to determine the color that written words appear in.  Sometimes, the words will be actual color names.  When this happens, try not to respond with the written color name, but only with the color of the word."
KeyManual,"You will need to respond with the 1-2-3-4 keys on the top of the keyboard."
KeyVocal,"You will need to respond by saying the color of the written word, loudly and clearly, into the microphone."
Break1Text,"Practice is complete.  Now you will be tested for real.  Remember to answer as quickly and accurately as possible.  Press any key to begin."
Break2Text,"You may now take a short break.  When you resume, remember to  answer as quickly and accurately as possible.  Press any key to continue."
PracticeHeaderText,"PRACTICE"
TestHeaderText,"TEST"
footer1textmanual,"Press <KEYSTRING> for the color of the word"
footer1textmanual2,"Press <KEYSTRING> or '5' for other error."
footer1textvocal,"Say '<KEYSTRING>' for the number of characters that appear on the screen"
footer2text,"Respond as quickly and accurately as possible."
exit,"You are now finished. Thank you for participating."
