neutral1,"Z"
neutral2,"M"
neutral3,"G"
choice1,"Select input type.",
choice2,"1-2-3 Number Line on keyboard"
choice3,"1-2-3 numbers on keypad"
choice4,"Vocal input from microphone"
keyboardtext," 1-2-3 del keyboard."
keypadtext," 1-2-3 del pad numérico."
voicetext,"uno, dos, o tres"
instructionsbase, "En esta prueba deberás determinar cuántos elementos se muestran en la pantalla de la computadora. El número de elementos será de uno, dos o tres. Algunas veces los elementos serán letras, otras serán números."
KeyManual1," Para responder utilizarás los números"
KeyManual2, Z     1    2    3   (responde presionando “1”\nMM     11   22   33  (responde presionando “2”\nGGG    111  222  333 (responde presionando “3”)\n\nRecuerda ignorar cualquier cualidad que no coincida con el número de elementos. Presiona cualquier tecla para iniciar la práctica."
KeyVocal,"You will need to respond by saying the number 1, 2, or 3, loudly and clearly, into the microphone:\n      Z       1     2      3        (respond by saying '1')\n     MM    11   22    33       (respond by saying '2')\n    GGG  111  222  333     (respond by saying '3').  \n\nRemember to ignore the actual identity of the character.  Press any key to try a practice round."
Break1Text,"La práctica ha culminado. Ahora comenzará la prueba real. Recuerda responder lo más rápido y preciso que puedas. Presiona cualquier tecla para comenzar."
Break2Text," Presiona cualquier tecla para comenzar."
PracticeHeaderText,"PRACTICE"
testHeaderText,"TEST"
press,"Press"
Footer1TextManual," for the number of characters that appear on the screen"
Footer1TextManual2," or '4' for other error."
Footer1TextVocal1,"Say '"
Footer1TextVocal2,"' for the number of characters that appear on the screen"
Footer2Text,"Responder con rapidez y precisión."
ExitText,"You are now finished. Thank you for participating."
TooSlow,"Demasiado lento"
Correct,"Correcto"
Incorrect,"Incorrecto"
