Select,"Type 3 to select Shallice test to use:\n\n
[1] Unconstrained pile heights, {3,4,5} disks, progressive difficulty, 24 trials\n[2] Unconstrained pile heights, {3,4,5} disks, Random presentation, 24 trials\n[3] Shallice test ([1,2,3] pile heights, 3 disks, Shallice's 12 problems.\n[4] Shallice pile heights [1,2,3], 3 disks, 30  random trials.\n[5] Phillips (1999) trials A (unconstrained piles, 5 disks, progressive difficulty, 8 trials)\n[6] Phillips (1999) trials B (unconstrained piles, 5 disks, progressive difficulty, 8 trials)\n[7] Phillips (1999) trials C (unconstrained piles, 5 disks, progressive difficulty, 8 trials)\n[8] Fimbel et al (2009) old: [1,2,3] pile heights, 3 disks, progressive difficulty, 15 trials)\n[9] Fimbel et al (2009) young: [1,2,3] pile heights, 3 disks, progressive difficulty, 35 trials)\n[0] TOL-R (Schnirman et al, 1998). [1,2,3] pile heights, 3 disks, 30 problems, time and move limit)\n[a] TOL-DX (Culbertson & Zillmer, 1998). [1,2,3] pile heights, 3 discs, 15 problems)\n\nEdit TOL.pbl directly to specify a test configuration automatically."
HeaderLab,"Ciljana\nhrpa:"
FooterLab,"Pritisni na hrpu i pusti disk"
InstText1,"Upravo cete sudjelovati u zadatku koji se zove Londonski toranj. Vas zadatak je da slozite diskove onako kako su prikazani na gornjem dijelu ekrana. Mozete pomicati disk po disk, ali ne mozete pomakntui disk na hrpu na kojoj vise nema mjesta (oznaceno velicinom sivog pravokutnika). Da bi ste pomakli disk kliknite na hrpu s kojeg ga zelite pomaknuti, nakon cega ce se disk pojaviti u ruci. Nakon toga, kliknite na hrpu na koju zelite staviti disk i on ce se spustiti na nju."
InstText2," Imat cete ograniceno vrijeme da biste zavrsili svaki zadatak.  Pokusajte zavrsiti zadatak unutar zadanog vremena."
InstText3," Imat cete ogranicen broj poteza da rijesite svaki zadatak. Prije prvog poteza razmislite o svakom zadatku kako biste bili sigurni da ga mozete rijesiti unutar zadanog broja poteza. Ukoliko ne zavrsite zadatak unutar ogranicenja on ce zavrsiti, a vi cete dobiti novi zadatak."
Begin,"Pritisnite lijevo dugme misa za pocetak."
Continue,"Zavrsen pokusaj. \nPritisnite misa da biste zapoceli novi zadatak."
Incomplete,"Nezavrsen zadatak. "
ClickLab,"Broj poteza"
TimeLab,"Vrijeme"
MovesOutLab,"Niste uspjeli rijesiti zadatak u zadanom broju poteza."
ResetText,"Resetiraj zadatak"
ResetLab,"Kliknite na ekran da biste ponovili zadatak."
TimeOutLab,"Isteklo vam je vrijeme."
Debriefing,"Hvala vam na sudjelovanju. Zadaci su gotovi.  Pritisnite bilo koju tipku za izlazak."
ContinueFail,"Kliknite na ekran da biste zapoceli s novim zadatkom."
author,"Silvaja Rucevic"
