Select,"Type 3 to select Shallice test to use:\n\n[1] Unconstrained pile heights, {3,4,5} disks, progressive difficulty, 24 trials\n[2] Unconstrained pile heights, {3,4,5} disks, Random presentation, 24 trials\n[3] Shallice test ([1,2,3] pile heights, 3 disks, Shallice's 12 problems.\n[4] Shallice pile heights [1,2,3], 3 disks, 30  random trials.\n[5] Phillips (1999) trials A (unconstrained piles, 5 disks, progressive difficulty, 8 trials)\n[6] Phillips (1999) trials B (unconstrained piles, 5 disks, progressive difficulty, 8 trials)\n[7] Phillips (1999) trials C (unconstrained piles, 5 disks, progressive difficulty, 8 trials)\n[8] Fimbel et al (2009) old: [1,2,3] pile heights, 3 disks, progressive difficulty, 15 trials)\n[9] Fimbel et al (2009) young: [1,2,3] pile heights, 3 disks, progressive difficulty, 35 trials)\n[0] TOL-R (Schnirman et al, 1998). [1,2,3] pile heights, 3 disks, 30 problems, time and move limit)\n[a] TOL-DX (Culbertson & Zillmer, 1998). [1,2,3] pile heights, 3 discs, 15 problems)\n\nEdit TOL.pbl directly to specify a test configuration automatically."
HeaderLab,"Sudėliokite pagal šį pavyzdį:"
FooterLab,"Paimant ir padedant diską, spauskite ant stačiakampio"
InstText1,"Jūsų tikslas yra sudėlioti diskus pagal duotą pavyzdį. Diskus galite judinti tik po vieną. Norėdami pajudinti diską, paspauskite langelį iš kurio norite paimti diską, o tada paspauskite langelį į kurį norite perkelti diską. Stenkitės padaryti kuo mažiau ėjimų ir diskus sudėlioti kuo greičiau."
InstText2," You will have a time limit to finish each problem.  Attempt to finish each problem within the allotted time."
InstText3," You will have only a limited number of moves to solve each problem. Before you make your first move, think about the problem to make sure you can solve it within your move limit.  If you do not finish the problem within the limit, the turn will end and you will move on to the next problem."
Begin,"Spustelėkite Enter, jei norite pradėti"
Continue,"Teisingai!      Paspauskite pelyte, kad prasidėtų kitas bandymas."
Incomplete,"Trial Incomplete. "
ClickLab,"Clicks"
TimeLab,"Time (s)"
MovesOutLab, "You failed to complete the problem in the number of moves required."
ResetText,"Reset problem"
ResetLab,"Click screen to restart problem."
TimeOutLab,"You ran out of time."
Debriefing,"Paspauskite pelyte, kad baigtumėte"
ContinueFail,"Click screen to move on to the next problem."
