Select,"Type 3 to select Shallice test to use:\n\n
[1] Unconstrained pile heights, {3,4,5} disks, progressive difficulty, 24 trials\n[2] Unconstrained pile heights, {3,4,5} disks, Random presentation, 24 trials\n[3] Shallice test ([1,2,3] pile heights, 3 disks, Shallice's 12 problems.\n[4] Shallice pile heights [1,2,3], 3 disks, 30  random trials.\n[5] Phillips (1999) trials A (unconstrained piles, 5 disks, progressive difficulty, 8 trials)\n[6] Phillips (1999) trials B (unconstrained piles, 5 disks, progressive difficulty, 8 trials)\n[7] Phillips (1999) trials C (unconstrained piles, 5 disks, progressive difficulty, 8 trials)\n[8] Fimbel et al (2009) old: [1,2,3] pile heights, 3 disks, progressive difficulty, 15 trials)\n[9] Fimbel et al (2009) young: [1,2,3] pile heights, 3 disks, progressive difficulty, 35 trials)\n[0] TOL-R (Schnirman et al, 1998). [1,2,3] pile heights, 3 disks, 30 problems, time and move limit)\n[a] TOL-DX (Culbertson & Zillmer, 1998). [1,2,3] pile heights, 3 discs, 15 problems)\n\nEdit TOL.pbl directly to specify a test configuration automatically."
HeaderLab,"Target\nStacks:"
FooterLab,"Proszę kliknąć na stercie aby podnieść i upuścić dysk"
InstText1,"Za chwilę weźmie Pani/Pan udział w zadaniu 'Tower of London'.  Celem będzie przeniesienie sterty dysków z oryginalnej konfiguracji tak,aby uzyskać konfigurację ukazaną na górze ekranu.  Może Pani/Pan podnieść jeden dysk jednocześnie i nie można przenieść dysku na stertę, gdzie nie ma już miejsca (co będzie wskazywane przez wielkość szarego prostokąta).By przemieścić dysk, proszę kliknąć na stertę, z której należy zabrać dysk, zostanie wtedy podniesiony ponad stertę. Następnie proszę kliknąć na kolejną stertę, wtedy dysk zostanie ułożony na niej. Proszę poinformować mnie o zakończeniu zadania."
InstText2," Będziesz mieć limit czasu, aby zakończyć każdy problem. Spróbuj zakończyć każdy problem w wyznaczonym czasie."
InstText3," Będziesz mieć ograniczoną liczbę ruchów do rozwiązania każdego problemu. Zanim podejmiesz pierwszy krok, pomyśl o problemie, aby upewnić się, że można go rozwiązać w ramach limitu ruchów. Jeśli nie zakończysz problemu w ramach limitu, etap zakończy się i przejdziesz do następnego problemu."
Begin," Proszę kliknąć myszką, aby rozpocząć."
Continue,"Problem rozwiązany. \n\n Proszę kliknąć myszką, aby przejść do kolejnego problemu."
Incomplete,"Problem nierozwiązany. "
ClickLab,"Liczba ruchów"
TimeLab,"Czas (s)"
MovesOutLab,"Nie udało się zakończyć problemu w liczbie ruchów wymaganych."
ResetText,"Zresetuj problem"
ResetLab,"Click screen to restart problem."
TimeOutLab,"Przekroczyłeś limit czasu."
Debriefing,"Dziękuję za udział w badaniu. Eksperyment jest już skończony. Proszę nacisnąć dowolny klawisz, aby zakończyć."
ContinueFail,"Proszę kliknąć na ekranie aby przejść do kolejnego problemu."
author,"Silvaja Rucevic"
